project_name,_id,name,subject_id,golden_mouse,genotype,date_of_birth,sex,modality,session_date,age,session_time,column,volume
V1 Deep Dive,2aa903bd-1ea3-4b8c-b6b9-f46186c449ba,409828_2018-12-10_15-28-55_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-10,160,15:28:55.711250,3,5
V1 Deep Dive,e0d38d0a-f99a-44b6-9347-30d26df7fe5b,409828_2018-12-14_14-47-35_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-14,164,14:47:35.097180,1,5
V1 Deep Dive,35f239a4-a9ef-465c-aa2d-02741abcf303,409828_2018-12-13_13-21-39_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-13,163,13:21:39.888000,1,2
V1 Deep Dive,e386a797-5480-45f7-ac6e-5802db65e29d,409828_2018-12-14_13-14-42_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-14,164,13:14:42.634500,1,4
V1 Deep Dive,431dfaae-6d7b-41c1-8d3e-c79083e28578,416296_2018-11-05_14-13-21_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-05,91,14:13:21.053750,2,1
V1 Deep Dive,21ddf108-4898-49d9-a2f6-11c1cc049a2f,409828_2018-12-11_16-12-21_nwb_2025-08-08_16-27-53,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-11,161,16:12:21.396890,5,4
V1 Deep Dive,2c4ea3fb-0691-453b-ac61-d0d4cbcafc26,416296_2018-11-06_12-19-49_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-06,92,12:19:49.261470,3,2
V1 Deep Dive,3977263c-5655-497f-a364-6d122e58ba7a,409828_2018-12-12_12-24-18_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-12,162,12:24:18.963730,1,1
V1 Deep Dive,ae4438d3-f545-4079-a76d-607c4e050b67,409828_2018-12-12_10-53-44_nwb_2025-08-08_16-27-53,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-12,162,10:53:44.705010,5,5
V1 Deep Dive,b2abc738-86ab-48ae-b9ec-766a01d22faf,416296_2018-11-14_10-20-29_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-14,100,10:20:29.147870,5,1
V1 Deep Dive,b18d05b6-c3d4-40c1-813e-f12fe7ebaa2a,409828_2018-12-13_15-10-05_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-13,163,15:10:05.562960,1,3
V1 Deep Dive,2c0e78f4-dcfb-4e51-bacd-9e55306a61a8,416296_2018-11-16_12-27-27_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-16,102,12:27:27.887290,4,1
V1 Deep Dive,6de6dda0-0c16-4820-85b3-aa66fce97e4b,416296_2018-11-06_10-41-36_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-06,92,10:41:36.657640,3,1
V1 Deep Dive,2720f833-5ef3-4d6e-a562-75b15f4bd100,416296_2018-11-15_10-41-12_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-15,101,10:41:12.103130,2,2
